position,id,name,site_category,ml_item_id,price,original_price,previous_price,previous_price_source,previous_price_expires_at,last_price_source,free_shipping,clicks_count,source_url
1,21b79423-50e2-4095-ac38-7fb4e46e09e2,Pré Treino Insane Clown 350g Demons Lab Sabor Fruit punch,suplementos,MLB5163269734,109.9,,149.9,HISTORY,2026-02-22T15:36:04.826+00:00,catalog,true,1,https://www.mercadolivre.com.br/pre-treino-insane-clown-350g-demons-lab-sabor-fruit-punch/p/MLB25904523?pdp_filters=item_id%3AMLB5163269734&attributes=FLAVOR%3APonche_de_frutas_vpp&matt_tool=38524122#origin=share&sid=share&wid=MLB5163269734
2,9784b616-37b1-437f-a171-6aad8e076d95,Fresh Whey Chocolate E Avelã Sabor Chocolate Belga e Avelã - Dux Human Health - Pote 900g,suplementos,MLB3208376680,248,,271.44,HISTORY,2026-02-23T18:38:11.659121+00:00,catalog,true,1,https://www.mercadolivre.com.br/fresh-whey-chocolate-e-avel-sabor-chocolate-belga-e-avel-dux-human-health-pote-900g/p/MLB19550288?pdp_filters=item_id%3AMLB3208376680&matt_tool=38524122#origin=share&sid=share&wid=MLB3208376680
3,2ef7e747-1b11-4e54-9f4f-3d7dab4d86f1,Suplemento Em Pó Adaptogen Science Panic Pré Treino Com Creatina Pote 300g Sabor Melancia,suplementos,MLB4693548954,68,,118.99,HISTORY,2026-02-23T02:55:30.847+00:00,catalog,true,0,https://www.mercadolivre.com.br/suplemento-em-po-adaptogen-science-panic-pre-treino-com-creatina-pote-300g-sabor-melancia/p/MLB45677526?pdp_filters=item_id%3AMLB4693548954&matt_tool=38524122#origin=share&sid=share&wid=MLB4693548954
4,fc98bd41-70c3-4fef-bcba-4fbbc9e9df91,Dilabol Pump Pré Treino Pote 300g Sabor Energético Diabo Verde - FTW,suplementos,MLB4043496307,69,,119.9,HISTORY,2026-02-22T17:23:50.558872+00:00,catalog,true,0,https://www.mercadolivre.com.br/dilabol-pump-pre-treino-pote-300g-sabor-energetico-diabo-verde-ftw/p/MLB48935951?pdp_filters=item_id%3AMLB4043496307#origin%3Dshare%26sid%3Dshare%26wid%3DMLB4043496307
5,2dc08cfd-3d12-46fe-8e86-d0f3514c1f82,(Kit 2x) Creatina Monohidratada Pó Growth Suplementos Sem Sabor,suplementos,MLB6173287630,115,,115,HISTORY,2026-02-23T20:10:28.197339+00:00,scraper,true,3,https://www.mercadolivre.com.br/kit-2x-creatina-monohidratada-po-growth-suplementos-sem-sabor/p/MLB56656247?pdp_filters=item_id%3AMLB6173287630#origin%3Dshare%26sid%3Dshare%26wid%3DMLB6173287630
6,62711211-3133-4e0f-86b7-fba779079d4b,Creatina Max Titanium Em Pó Pote 150g Creatina Sem Sabor,suplementos,MLB5361352556,27.9,,129.9,HISTORY,2026-02-23T19:44:18.158767+00:00,scraper,true,0,https://www.mercadolivre.com.br/suplemento-academia-creatina-max-titanium-em-po-pote-150g-creatina-sem-sabor/p/MLB6098706?pdp_filters=item_id%3AMLB5361352556#origin%3Dshare%26sid%3Dshare%26wid%3DMLB5361352556
7,58be89a4-3ce6-4de3-aee9-aced6f36e4a3,Whey Protein Concentrado Dux Nutrition Pote 900g Sem Sabor,suplementos,MLB5899235130,179.9,,199.99,HISTORY,2026-02-23T09:43:20.074058+00:00,scraper,true,0,https://www.mercadolivre.com.br/whey-protein-concentrado-dux-nutrition-pote-900g-sem-sabor/p/MLB18510407?pdp_filters=item_id%3AMLB5899235130#origin%3Dshare%26sid%3Dshare%26wid%3DMLB5899235130
8,a25a9b7e-b854-46c2-a5ab-06c451d970b4,Pré Treino C/ Cafeína 350g Insane Mad Sabor Frutas Vermelhas,suplementos,MLB5351531154,127,,149.9,HISTORY,2026-02-23T09:43:20.074058+00:00,scraper,true,0,https://www.mercadolivre.com.br/pre-treino-c-cafeina-350g-insane-mad-sabor-frutas-vermelhas/p/MLB47734999?pdp_filters=item_id%3AMLB5351531154&matt_tool=38524122#origin=share&sid=share&wid=MLB5351531154
9,482b9a95-f42b-42fa-99ab-9a133f28dda0,Creatina 250g Monohidratada Growth Supplements Sem Sabor,suplementos,MLB3895172660,49.9,,67.35,HISTORY,2026-02-23T01:53:43.338+00:00,scraper,true,0,https://www.mercadolivre.com.br/creatina-250g-monohidratada-growth-supplements-sabor-sem-sabor/p/MLB47820524?pdp_filters=item_id%3AMLB3895172660&matt_tool=38524122#origin=share&sid=share&wid=MLB3895172660
10,28c2f424-454d-4846-beba-ba79c3197956,Whey Protein Concentrado 80% - Growth Supplements Sabor Cookies and cream,suplementos,MLB4375438657,164.9,,164.9,HISTORY,2026-02-23T19:46:52.069719+00:00,scraper,true,0,https://www.mercadolivre.com.br/whey-protein-concentrado-80-growth-supplements-sabor-cookies-and-cream/p/MLB19049053?pdp_filters=item_id%3AMLB4375438657#origin%3Dshare%26sid%3Dshare%26wid%3DMLB4375438657
11,f93e1dda-b8de-428f-8b5a-5d04424a73b4,Creatina Monohidratada 1Kg Soldiers Nutrition 100% Pura Importada Alta Performance Músculo Treino,suplementos,MLB6125149248,210,,230,HISTORY,2026-02-23T02:20:59.893+00:00,catalog,true,0,https://www.mercadolivre.com.br/p/MLB18725310
12,788d1e28-b2a2-482f-a934-024b4608eb43,Creatina Monohidratada 1Kg Soldiers Nutrition 100% Pura Importada Alta Performance Músculo Treino,suplementos,MLB6001001720,140,,145,HISTORY,2026-02-23T02:20:42.347+00:00,catalog,true,0,https://www.mercadolivre.com.br/p/MLB18725310
13,b2f1b3cc-bcb4-4219-877d-cb54193b2a49,Creatina Monohidratada 250g Growth Supplements - Sem sabor em Pó,suplementos,MLB5536780672,16.19,,80.57,,,catalog,true,0,https://www.mercadolivre.com.br/p/MLB19603205
14,2e6711e7-9fe0-4514-ab03-cbe72e29f5eb,Creatina Monohidratada 250g Growth Supplements - Sem sabor em Pó,suplementos,MLB5536702760,16.19,,79,,,catalog,true,0,https://www.mercadolivre.com.br/p/MLB19603205
15,debc9910-398d-4257-a4ca-ac70669962ac,Multivitaminico 120 Capsulas Growth Supplement Rende 4 Meses,suplementos,MLB4272712272,54.9,,102.6,,,catalog,true,0,https://www.mercadolivre.com.br/p/MLB21391079
16,9abb52c8-47df-4db0-94b5-c5a779f3b9ce,Whey 100% Pure Baunilha 900g Pote - Proteína Pura e Rápida Absorção para Melhor Performance,suplementos,MLB5489426612,130,,132.72,,,catalog,true,0,https://www.mercadolivre.com.br/p/MLB12702741
17,d81e433f-3a41-4656-a2ae-2c94f4d157aa,Creatina Monohidratada 250g Growth Supplements - Sem sabor em Pó,suplementos,MLB3355561200,16.19,,96.75,,,catalog,true,0,https://www.mercadolivre.com.br/p/MLB19603205
18,c2192698-66c0-4375-9e09-d10b485b8a2e,Creatina Monohidratada 250g Growth Supplements - Sem sabor em Pó,suplementos,MLB5511527784,16.19,,129,,,catalog,true,0,https://www.mercadolivre.com.br/p/MLB19603205
19,134c68df-7dad-4d27-ab8d-3ad657f21de2,Smartwatch HUAWEI Band 10 Caixa de Polímeros Duráveis Análise do Sono em Nível Profissional Assistente de Bem-estar Emocional Relógio Smartwatch Compatível com Android e iOS Preto,acessorios,MLB4456238065,199,,274.38,HISTORY,2026-02-22T22:10:09.768+00:00,catalog,true,0,https://www.mercadolivre.com.br/smartwatch-huawei-band-10-caixa-de-polimeros-duraveis-analise-do-sono-em-nivel-profissional-assistente-de-bem-estar-emocional-relogio-smartwatch-compativel-com-android-e-ios-preto/p/MLB46202402?pdp_filters=item_id%3AMLB4456238065&matt_tool=38524122#origin=share&sid=share&wid=MLB4456238065
20,6a4b6369-80fc-4d32-a143-624cdc225d6e,Garrafa térmica Stanley Quick Flip de aço inoxidável 710mL Polar,acessorios,MLB5923674106,171.9,,349,HISTORY,2026-02-23T20:07:00.053699+00:00,catalog,true,2,https://www.mercadolivre.com.br/p/MLB35973271
21,a4196ff0-9fb3-491f-b30c-a282fa31dddc,Garrafa térmica Stanley Quick Flip de aço inoxidável 710mL Polar,acessorios,MLB6025684184,220.9,,349,HISTORY,2026-02-23T18:40:02.249+00:00,catalog,true,0,https://www.mercadolivre.com.br/p/MLB35973271
