position,id,name,site_category,ml_item_id,price,last_price_source,free_shipping,source_url
1,2dc08cfd-3d12-46fe-8e86-d0f3514c1f82,(Kit 2x) Creatina Monohidratada Pó Growth Suplementos Sem Sabor,suplementos,MLB6173287630,59.9,scraper,true,https://www.mercadolivre.com.br/kit-2x-creatina-monohidratada-po-growth-suplementos-sem-sabor/p/MLB56656247?pdp_filters=item_id%3AMLB6173287630#origin%3Dshare%26sid%3Dshare%26wid%3DMLB6173287630
2,21b79423-50e2-4095-ac38-7fb4e46e09e2,Pré Treino Insane Clown 350g Demons Lab Sabor Fruit punch,suplementos,MLB5163269734,109.9,catalog,true,https://www.mercadolivre.com.br/pre-treino-insane-clown-350g-demons-lab-sabor-fruit-punch/p/MLB25904523?pdp_filters=item_id%3AMLB5163269734&attributes=FLAVOR%3APonche_de_frutas_vpp&matt_tool=38524122#origin=share&sid=share&wid=MLB5163269734
3,9784b616-37b1-437f-a171-6aad8e076d95,Fresh Whey Chocolate E Avelã Sabor Chocolate Belga e Avelã - Dux Human Health - Pote 900g,suplementos,MLB3208376680,248,catalog,true,https://www.mercadolivre.com.br/fresh-whey-chocolate-e-avel-sabor-chocolate-belga-e-avel-dux-human-health-pote-900g/p/MLB19550288?pdp_filters=item_id%3AMLB3208376680&matt_tool=38524122#origin=share&sid=share&wid=MLB3208376680
4,28c2f424-454d-4846-beba-ba79c3197956,Whey Protein Concentrado 80% - Growth Supplements Sabor Cookies and cream,suplementos,MLB4375438657,32.9,scraper,true,https://www.mercadolivre.com.br/whey-protein-concentrado-80-growth-supplements-sabor-cookies-and-cream/p/MLB19049053?pdp_filters=item_id%3AMLB4375438657#origin%3Dshare%26sid%3Dshare%26wid%3DMLB4375438657
5,2ef7e747-1b11-4e54-9f4f-3d7dab4d86f1,Suplemento Em Pó Adaptogen Science Panic Pré Treino Com Creatina Pote 300g Sabor Melancia,suplementos,MLB4693548954,68,catalog,true,https://www.mercadolivre.com.br/suplemento-em-po-adaptogen-science-panic-pre-treino-com-creatina-pote-300g-sabor-melancia/p/MLB45677526?pdp_filters=item_id%3AMLB4693548954&matt_tool=38524122#origin=share&sid=share&wid=MLB4693548954
6,fc98bd41-70c3-4fef-bcba-4fbbc9e9df91,Dilabol Pump Pré Treino Pote 300g Sabor Energético Diabo Verde - FTW,suplementos,MLB4043496307,69,catalog,true,https://www.mercadolivre.com.br/dilabol-pump-pre-treino-pote-300g-sabor-energetico-diabo-verde-ftw/p/MLB48935951?pdp_filters=item_id%3AMLB4043496307#origin%3Dshare%26sid%3Dshare%26wid%3DMLB4043496307
7,62711211-3133-4e0f-86b7-fba779079d4b,Creatina Max Titanium Em Pó Pote 150g Creatina Sem Sabor,suplementos,MLB5361352556,27.9,scraper,true,https://www.mercadolivre.com.br/suplemento-academia-creatina-max-titanium-em-po-pote-150g-creatina-sem-sabor/p/MLB6098706?pdp_filters=item_id%3AMLB5361352556#origin%3Dshare%26sid%3Dshare%26wid%3DMLB5361352556
8,58be89a4-3ce6-4de3-aee9-aced6f36e4a3,Whey Protein Concentrado Dux Nutrition Pote 900g Sem Sabor,suplementos,MLB5899235130,179.9,scraper,true,https://www.mercadolivre.com.br/whey-protein-concentrado-dux-nutrition-pote-900g-sem-sabor/p/MLB18510407?pdp_filters=item_id%3AMLB5899235130#origin%3Dshare%26sid%3Dshare%26wid%3DMLB5899235130
9,482b9a95-f42b-42fa-99ab-9a133f28dda0,Creatina 250g Monohidratada Growth Supplements Sem Sabor,suplementos,MLB3895172660,49.9,scraper,true,https://www.mercadolivre.com.br/creatina-250g-monohidratada-growth-supplements-sabor-sem-sabor/p/MLB47820524?pdp_filters=item_id%3AMLB3895172660&matt_tool=38524122#origin=share&sid=share&wid=MLB3895172660
10,a25a9b7e-b854-46c2-a5ab-06c451d970b4,Pré Treino C/ Cafeína 350g Insane Mad Sabor Frutas Vermelhas,suplementos,MLB5351531154,127,scraper,true,https://www.mercadolivre.com.br/pre-treino-c-cafeina-350g-insane-mad-sabor-frutas-vermelhas/p/MLB47734999?pdp_filters=item_id%3AMLB5351531154&matt_tool=38524122#origin=share&sid=share&wid=MLB5351531154
