position,id,name,site_category,ml_item_id,price,last_price_source,free_shipping,source_url
1,3dece100-d25e-4e92-9272-d0b943c91769,Par De Halteres 10kg Peso Academia Dumbell Sextavado Cor Preto,equipamentos,MLB6031215678,255,scraper,true,https://www.mercadolivre.com.br/p/MLB27449760
2,71573129-e5c5-4982-854d-f814ee6fee45,"Kit Halteres 6 Em 1 Peso Musculação Até 40kg Ajustável Halter, Kettlebell, Anilha Cor Preto-Vermelho + E-book",equipamentos,MLB5411218042,499,scraper,true,https://www.mercadolivre.com.br/p/MLB26591487
3,396def82-b43a-4fde-8016-8f297bfac041,Kit Par Halter 1 Kg + Par Halter 2 Kg Cada Academia Treino Cor Azul/verde,equipamentos,MLB5432940274,139,catalog,true,https://www.mercadolivre.com.br/p/MLB51191677
4,11c2063c-2108-4361-bdd5-0c4a4e9acf59,Faixa Elástica Rubber Band Prottector Extra-forte Cinza,equipamentos,MLB4073964522,65.73,catalog_ingest,true,https://www.mercadolivre.com.br/p/MLB27060802
5,5ef6c242-0bfa-45b2-869d-cae7348877c3,Barra Fixa De Parede Pull-up Modelo Externo Interno Completa Preto,equipamentos,MLB2127256224,78.9,scraper,true,https://www.mercadolivre.com.br/barra-fixa-de-parede-pullup-modelo-externo-interno-completa/up/MLBU1417690491?pdp_filters=item_id%3AMLB2127256224#origin%3Dshare%26sid%3Dshare%26wid%3DMLB2127256224
6,eb20787f-b1ae-4d6c-865b-4b82d1d9cf98,Halter 3kg Rosa + Caneleira 3kg + Elástico + Kit Mini Band Rosa,equipamentos,MLB4183739859,189.9,catalog_ingest,true,https://www.mercadolivre.com.br/p/MLB54238045
7,860c4c7a-49cd-4b44-a6a2-0d4f3fba6174,Par Halter Emborrachado 3 Kg Halter Peso Academia Treino Cor Vermelho,equipamentos,MLB5561424020,159.9,catalog_ingest,true,https://www.mercadolivre.com.br/p/MLB53659640
8,d63885f6-4cd7-4111-9c65-764f465a7efd,Par De Halteres 10kg Peso Academia Dumbell Sextavado Cor Preto,equipamentos,MLB6240935452,443,catalog_ingest,true,https://www.mercadolivre.com.br/p/MLB27449760
9,e8c60bd8-d6d7-47d7-bfa5-56b82c7da4f0,Par De Halteres 10kg Peso Academia Dumbell Sextavado Cor Preto,equipamentos,MLB4091772901,372,catalog,true,https://www.mercadolivre.com.br/p/MLB27449760
10,5f5bccf4-afda-4448-a139-997ee15d1d7a,Par De Halteres 10kg Peso Academia Dumbell Sextavado Cor Preto,equipamentos,MLB3783645925,444,catalog,true,https://www.mercadolivre.com.br/p/MLB27449760
