position,product_id,source_url,external_id,affiliate_url,apply_status,error_message,applied_at
1,3dece100-d25e-4e92-9272-d0b943c91769,https://www.mercadolivre.com.br/p/MLB27449760,MLB6031215678,,PENDING,,
2,71573129-e5c5-4982-854d-f814ee6fee45,https://www.mercadolivre.com.br/p/MLB26591487,MLB5411218042,,PENDING,,
3,396def82-b43a-4fde-8016-8f297bfac041,https://www.mercadolivre.com.br/p/MLB51191677,MLB5432940274,,PENDING,,
4,11c2063c-2108-4361-bdd5-0c4a4e9acf59,https://www.mercadolivre.com.br/p/MLB27060802,MLB4073964522,,PENDING,,
5,5ef6c242-0bfa-45b2-869d-cae7348877c3,https://www.mercadolivre.com.br/barra-fixa-de-parede-pullup-modelo-externo-interno-completa/up/MLBU1417690491?pdp_filters=item_id%3AMLB2127256224#origin%3Dshare%26sid%3Dshare%26wid%3DMLB2127256224,MLB2127256224,,PENDING,,
6,eb20787f-b1ae-4d6c-865b-4b82d1d9cf98,https://www.mercadolivre.com.br/p/MLB54238045,MLB4183739859,,PENDING,,
7,860c4c7a-49cd-4b44-a6a2-0d4f3fba6174,https://www.mercadolivre.com.br/p/MLB53659640,MLB5561424020,,PENDING,,
8,d63885f6-4cd7-4111-9c65-764f465a7efd,https://www.mercadolivre.com.br/p/MLB27449760,MLB6240935452,,PENDING,,
9,e8c60bd8-d6d7-47d7-bfa5-56b82c7da4f0,https://www.mercadolivre.com.br/p/MLB27449760,MLB4091772901,,PENDING,,
10,5f5bccf4-afda-4448-a139-997ee15d1d7a,https://www.mercadolivre.com.br/p/MLB27449760,MLB3783645925,,PENDING,,
11,dfc6f780-1447-4d9e-9be4-582c0c8d8711,https://www.mercadolivre.com.br/p/MLB27449760,MLB5957140562,,PENDING,,
12,20ed6b62-f1ff-4b73-92af-c776fb3eb059,https://www.mercadolivre.com.br/p/MLB34506161,MLB3645231841,,PENDING,,
13,ebbc5eb0-2b11-421f-8487-a2a947af20d0,https://www.mercadolivre.com.br/p/MLB43319779,MLB4367045489,,PENDING,,
14,51b2e105-07d1-4a49-b1ba-a41d6ee21df2,https://www.mercadolivre.com.br/p/MLB34506161,MLB5917906082,,PENDING,,
15,4b94e8fa-7ab3-47b0-9376-7f58174dc3a4,https://www.mercadolivre.com.br/p/MLB47354382,MLB4166686303,,PENDING,,
16,e35a7728-59f0-4fd2-89bb-4cffeb34e400,https://www.mercadolivre.com.br/p/MLB34506161,MLB5534116798,,PENDING,,
17,0765f623-1067-4048-8e5d-9ad3e28d9885,https://www.mercadolivre.com.br/p/MLB35973271,MLB5923596760,,PENDING,,
18,514fb853-07f7-4c76-9d37-0cce64458b8a,https://www.mercadolivre.com.br/p/MLB35973271,MLB5885288878,,PENDING,,
19,1e45f68a-1510-4fd9-86f0-691ab632de69,https://www.mercadolivre.com.br/p/MLB34506161,MLB6132130804,,PENDING,,
20,34b442fe-6a1d-460c-8df3-68d95f9b21e9,https://www.mercadolivre.com.br/p/MLB34506161,MLB4473306015,,PENDING,,
21,22a6ecb8-294d-4065-91a1-26d70a4f723c,https://www.mercadolivre.com.br/p/MLB43319779,MLB4471915977,,PENDING,,
22,fe26e301-f193-4637-a13b-d50b7ca6d76e,https://www.mercadolivre.com.br/p/MLB35973271,MLB5380910436,,PENDING,,
23,18dc5557-80ae-4a0c-9cf5-ccb450c50293,https://www.mercadolivre.com.br/p/MLB35973271,MLB5930218958,,PENDING,,
24,5f8f36e1-d07e-4689-a3ed-8e087518808a,https://www.mercadolivre.com.br/p/MLB35973271,MLB6182856984,,PENDING,,
25,ca25e22c-b411-4816-9d0a-914b96670c88,https://www.mercadolivre.com.br/p/MLB27449760,MLB5990534444,,PENDING,,
26,38f199dd-c6b9-4c84-a826-84b5373c8c0b,https://www.mercadolivre.com.br/p/MLB27449760,MLB6253524118,,PENDING,,
27,d7b022a1-191f-4537-ad61-334db62cf70c,https://www.mercadolivre.com.br/p/MLB26591487,MLB6256840614,,PENDING,,
28,3dff9faf-8b16-4b5b-aa10-2ed9650dd6cd,https://www.mercadolivre.com.br/p/MLB27060639,MLB3447880829,,PENDING,,
29,6134b2eb-7813-450b-8e4a-7ecfa3c9038b,https://www.mercadolivre.com.br/p/MLB25707747,MLB3543570935,,PENDING,,
30,db69cc1f-5668-4f54-b688-845f6ea1c029,https://www.mercadolivre.com.br/p/MLB39177891,MLB3907682613,,PENDING,,
